year,CR,GPM,OPM,NPM,ROA,ROE,ROIC,ARG,CAT,TAT,TLE,TLTA,TLEBITDA,IC,DR,DY,PE,PB,UKCPI,UKINT,UKGDPG,OILM,FCFFR
2006.0,0.982,35.52,6.74,1.74,1.73,6.58,5.59,4.71,3.673,0.958,0.935,0.483,5.594,11.18,177.5,4.34,40.909,1.321,2.317,4.64,2.39,19.9,-0.06
2022.0,1.14,13.33,13.33,6.25,2.85,9.68,3.57,25.62,1.147,0.311,1.914,0.657,10.018,6.396,65.26,0.95,32.282,3.124,9.05,1.47,4.35,39.61,0.175
2012.0,1.736,55.9,9.64,6.27,2.75,6.3,4.58,2.95,1.16,0.437,0.987,0.497,5.941,6.373,116.28,3.57,1.7,1.7,2.842,0.5,1.51,0.78,0.318
2015.0,1.823,33.59,20.3,15.87,28.68,194.74,47.37,6.95,2.475,1.753,6.09,0.859,2.11,26.529,35.02,4.11,16.865,32.843,0.042,0.5,2.22,-46.1,0.709
2012.0,1.443,13.06,3.77,2.93,3.71,14.04,5.46,0.07,3.458,1.282,1.509,0.601,5.491,16.774,56.99,4.11,7.981,1.103,2.842,0.5,1.51,0.78,-0.029
2010.0,1.862,44.66,33.46,28.68,10.64,16.02,14.98,34.05,1.353,0.298,0.755,0.43,3.709,12.24,22.22,0.49,11.031,1.654,3.308,0.5,2.24,28.19,0.163
2006.0,1.464,26.25,10.18,8.54,12.58,19.47,15.41,-15.1,1.715,0.475,0.714,0.416,4.861,28.143,47.78,4.16,38.65,2.688,2.317,4.64,2.39,19.9,0.471
2022.0,11.813,28.79,28.79,23.04,0.44,12.07,2.17,-0.31,0.182,0.019,18.89,0.95,115.559,1.473,48.98,5.13,5.931,0.696,9.05,1.47,4.35,39.61,2.351
2015.0,0.713,93.96,20.73,13.54,8.73,31.95,14.99,6.06,2.448,0.626,1.662,0.624,3.483,12.606,68.75,2.39,21.447,6.478,0.042,0.5,2.22,-46.1,0.386
2011.0,0.99,37.37,6.38,4.73,5.08,9.85,7.53,-0.51,3.376,1.088,0.759,0.431,4.445,15.159,33.67,2.14,11.799,1.107,4.475,0.5,1.15,37.93,0.109
2014.0,0.964,77.99,8.42,4.65,2.15,5.15,7.02,0.03,1.505,0.429,1.983,0.665,4.697,4.193,285.72,3.72,22.853,4.564,1.458,0.5,3.2,-8.49,0.2
2017.0,2.029,73.81,19.6,16.1,10.09,16.82,14.15,2.06,1.833,0.636,0.694,0.41,2.284,16.386,39.86,1.82,20.417,3.341,2.683,0.29,2.66,21.27,0.596
2015.0,0.818,24.87,24.87,13.28,3.76,18.34,7.0,2.65,2.52,0.276,3.601,0.783,8.048,4.224,79.98,3.78,15.374,2.811,0.042,0.5,2.22,-46.1,0.258
2014.0,1.104,68.17,15.56,11.98,6.66,55.84,14.57,-13.2,1.567,0.566,7.236,0.879,4.772,5.202,141.1,5.74,15.332,13.559,1.458,0.5,3.2,-8.49,0.301
2020.0,1.299,61.16,29.4,22.09,9.29,28.58,12.5,14.93,1.358,0.407,1.398,0.583,4.23,7.856,116.27,1.84,33.546,7.318,0.85,0.23,-10.36,-32.6,0.425
2017.0,0.795,5.19,1.82,-0.07,-0.09,4.1,3.58,3.68,3.627,1.219,6.149,0.86,15.275,2.333,0.0,0.0,50.263,2.422,2.683,0.29,2.66,21.27,0.053
2010.0,3.663,4.18,4.18,2.91,0.4,5.09,4.82,-15.49,1.543,0.136,19.881,0.952,162.613,0.046,50.59,4.27,18.768,0.623,3.308,0.5,2.24,28.19,0.148
2006.0,0.684,49.31,13.64,11.97,12.39,40.71,18.89,3.23,4.176,1.07,2.176,0.685,3.971,9.166,42.43,4.25,12.892,5.246,2.317,4.64,2.39,19.9,0.285
2013.0,0.998,91.44,12.79,8.5,3.76,12.89,9.32,6.23,0.938,0.441,2.187,0.686,9.449,5.531,47.25,2.14,20.055,2.372,2.567,0.5,1.79,-2.68,0.113
2010.0,2.352,3.61,3.61,3.0,0.59,21.73,11.25,-0.94,4.477,0.183,31.298,0.969,147.108,0.067,42.06,2.64,10.942,2.106,3.308,0.5,2.24,28.19,-4.958
